year,avg_temp_RIYADH,avg_moving_riyadh,year,avg_temp,avg_moving_globle
1976,24.97,25.15,1976,8.35,8.602
1977,25.99,25.4,1977,8.85,8.672
1978,25.95,25.47,1978,8.69,8.62
1979,26.2,25.63,1979,8.73,8.672
1980,25.83,25.788,1980,8.98,8.72
1981,25.95,25.984,1981,9.17,8.884
1982,24.62,25.71,1982,8.64,8.842
1983,24.85,25.49,1983,9.03,8.91
1984,25.05,25.26,1984,8.69,8.902
1985,25.3,25.154,1985,8.66,8.838
1986,25.36,25.036,1986,8.83,8.77
1987,26.37,25.386,1987,8.99,8.84
1988,25.99,25.614,1988,9.2,8.874
1989,25.05,25.614,1989,8.92,8.92
1990,25.7,25.694,1990,9.23,9.034
1991,25.43,25.708,1991,9.18,9.104
1992,24.37,25.308,1992,8.84,9.074
1993,25.42,25.194,1993,8.87,9.008
1994,26.08,25.4,1994,9.04,9.032
1995,25.64,25.388,1995,9.35,9.056
1996,26.28,25.558,1996,9.04,9.028
1997,25.49,25.782,1997,9.2,9.1
1998,26.73,26.044,1998,9.52,9.23
1999,26.92,26.212,1999,9.29,9.28
2000,26.55,26.394,2000,9.2,9.25
2001,26.67,26.472,2001,9.41,9.324
2002,26.44,26.662,2002,9.57,9.398
2003,26.62,26.64,2003,9.53,9.4
2004,26.2,26.496,2004,9.32,9.406
2005,26.27,26.44,2005,9.7,9.506
2006,26.24,26.354,2006,9.53,9.53
2007,26.49,26.364,2007,9.73,9.562
2008,26.21,26.282,2008,9.43,9.542
2009,26.71,26.384,2009,9.51,9.58
2010,27.37,26.604,2010,9.7,9.58
2011,26.4,26.636,2011,9.52,9.578
2012,26.83,26.704,2012,9.51,9.534
2013,27.78,27.018,2013,9.61,9.57
